task_id,pred_loss,recon_loss,total_loss
2,1.303544044494629,1.060132384300232,2.3636765480041504
3,1.212648868560791,1.2641403675079346,2.4767894744873047
4,1.2898527383804321,1.225816011428833,2.5156686305999756
6,2.1915531158447266,2.13755202293396,4.329104900360107
7,2.152269124984741,2.0093228816986084,4.16159200668335
8,2.591836929321289,2.4063034057617188,4.998140335083008
9,3.3353939056396484,2.878488540649414,6.2138824462890625
10,3.132495403289795,2.9847400188446045,6.1172356605529785
12,3.7077434062957764,3.5685107707977295,7.276254177093506
14,4.361330986022949,4.219997406005859,8.581327438354492
15,4.596735954284668,4.425571441650391,9.022307395935059
16,4.878049850463867,4.727823257446289,9.605873107910156
17,5.226919651031494,5.077495574951172,10.304414749145508
18,5.610925674438477,5.491097927093506,11.102023124694824
20,6.100258827209473,5.934401512145996,12.034660339355469
21,6.44122838973999,6.282085418701172,12.723315238952637
22,6.730048179626465,6.5843825340271,13.314430236816406
24,7.271198272705078,7.095223903656006,14.366422653198242
25,7.66518497467041,7.474884986877441,15.140069961547852
26,7.899111747741699,7.747869491577148,15.646982192993164
28,8.518247604370117,8.357536315917969,16.875783920288086
30,9.098655700683594,8.926231384277344,18.024887084960938
31,9.421165466308594,9.254627227783203,18.675792694091797
32,9.722288131713867,9.552984237670898,19.275272369384766
33,10.036589622497559,9.876923561096191,19.91351318359375
34,10.335670471191406,10.16738224029541,20.5030517578125
35,10.63607120513916,10.472485542297363,21.10856056213379
37,11.2449312210083,11.083048820495605,22.327983856201172
38,11.512408256530762,11.3445405960083,22.856948852539062
39,11.827913284301758,11.662808418273926,23.490718841552734
42,12.755261421203613,12.570072174072266,25.325336456298828
43,13.005457878112793,12.834724426269531,25.840179443359375
44,13.306285858154297,13.131528854370117,26.43781280517578
46,13.926835060119629,13.75826358795166,27.685100555419922
47,14.204662322998047,14.031364440917969,28.23602867126465
48,14.541089057922363,14.385845184326172,28.92693328857422
49,14.826051712036133,14.648979187011719,29.47503089904785
50,15.121004104614258,14.955726623535156,30.07672882080078
51,15.408949851989746,15.234538078308105,30.64348793029785
52,15.76308822631836,15.59916877746582,31.362255096435547
53,16.025556564331055,15.853927612304688,31.879484176635742
54,16.32477378845215,16.150367736816406,32.47514343261719
55,16.628772735595703,16.457744598388672,33.086517333984375
58,17.531600952148438,17.353878021240234,34.88547897338867
59,17.842147827148438,17.66980743408203,35.511959075927734
60,18.15822982788086,17.957664489746094,36.11589050292969
61,18.445114135742188,18.266469955444336,36.711578369140625
62,18.73130226135254,18.55918312072754,37.29048538208008
63,19.036441802978516,18.862699508666992,37.899139404296875
64,19.332313537597656,19.15999412536621,38.49230194091797
65,19.64643669128418,19.47311019897461,39.11954116821289
67,20.235782623291016,20.062744140625,40.298526763916016
68,20.543045043945312,20.370790481567383,40.91383743286133
69,20.860502243041992,20.690210342407227,41.55070877075195
70,21.158761978149414,20.982757568359375,42.14152145385742
72,21.74137306213379,21.564746856689453,43.30611801147461
73,22.053512573242188,21.878992080688477,43.9325065612793
74,22.359832763671875,22.18278694152832,44.54262161254883
75,22.67935562133789,22.48788833618164,45.16724395751953
76,22.952892303466797,22.77727699279785,45.73017120361328
77,23.257150650024414,23.07972526550293,46.33687210083008
78,23.564620971679688,23.39495277404785,46.95957565307617
79,23.858469009399414,23.684972763061523,47.54343795776367
80,24.16800308227539,23.99114418029785,48.15915298461914
81,24.471269607543945,24.29936981201172,48.7706413269043
83,25.06218719482422,24.887540817260742,49.94972610473633
84,25.371410369873047,25.19597625732422,50.5673828125
85,25.684307098388672,25.51066017150879,51.194976806640625
86,26.0062313079834,25.80066680908203,51.80690002441406
88,26.57879638671875,26.404600143432617,52.983394622802734
89,26.888225555419922,26.71232795715332,53.60055923461914
90,27.17717933654785,27.000930786132812,54.17810821533203
